b	0.009863805313085111	11356138
d	0.0387749144590641	44641319
f	0.011390147229229002	13113406
h	0.009935657519082814	11438861
j	5.430255896190391E-4	625182
l	0.06598532567459908	75968497
n	0.07236908274526378	83318077
p	0.02775852325654387	31958216
r	0.06469998739939373	74488695
t	0.06680525364763318	76912475
v	0.015232649431164752	17537255
x	5.600507832140608E-4	644783
z	0.009406810760148186	10830003
a	0.11159752087957461	128481535
c	0.043408517935139425	49975958
e	0.11569772793271597	133202078
g	0.01804722375776519	20777657
i	0.11239349927539348	129397940
k	0.0014471761990972574	1666125
m	0.027098830662522194	31198716
o	0.08925982847071852	102764288
q	0.0037508244745969753	4318301
s	0.05077670225639448	58458903
u	0.030852218340338338	35519968
w	9.793077928561085E-4	1127471
y	0.0013653882148467384	1571963
